Fecha;Hashtag;Nº veces tendencia;;;
18/3/20;Feliz Navidad;7;;;
28/10/20;Feliz Navidad;1;;;
15/10/20;Feliz Navidad;1;;;
8/10/20;Feliz Navidad;1;;;
11/10/20;Feliz Navidad;1;;;
7/10/20;Feliz Navidad;3;;;
27/10/20;Feliz Navidad;3;;;
31/10/20;Feliz Navidad;2;;;
24/11/20;Feliz Navidad;1;;;
30/11/20;Feliz Navidad;1;;;
29/11/20;Feliz Navidad;3;;;
9/11/20;Feliz Navidad;2;;;
12/11/20;Feliz Navidad;1;;;
4/11/20;Feliz Navidad;1;;;
29/11/20;Feliz Navidad;4;;;
30/11/20;Feliz Navidad;3;;;
1/12/20;Feliz Navidad;1;;;
17/12/20;Feliz Navidad;7;;;
25/11/20;Feliz Navidad;1;;;
19/11/20;Feliz Navidad;2;;;
21/11/20;Feliz Navidad;2;;;
20/12/20;Feliz Navidad;3;;;
22/11/20;Feliz Navidad;3;;;
20/12/20;Feliz Navidad;3;;;
27/11/20;Feliz Navidad;1;;;
23/11/20;Feliz Navidad;2;;;
22/12/20;Feliz Navidad;3;;;
21/12/20;Feliz Navidad;2;;;
20/12/20;Feliz Navidad;4;;;
16/12/20;Feliz Navidad;1;;;
20/12/20;Feliz Navidad;2;;;
23/12/20;Feliz Navidad;4;;;
17/12/20;Feliz Navidad;1;;;
24/11/20;Feliz Navidad;2;;;
21/12/20;Feliz Navidad;1;;;
17/12/20;Feliz Navidad;25;;;
26/11/20;Feliz Navidad;2;;;
7/12/20;Feliz Navidad;1;;;
26/11/20;Feliz Navidad;2;;;
25/11/20;Feliz Navidad;1;;;